id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception,power_consumed,en_budget
1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,4,6,MOTION_KERNEL,1.6064,10100.00001,10101.60641,100.0,10100.00001,2008000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,3,6,MOTION_KERNEL,1.6064,10101.60641,10103.21281,100.0,10100.00001,2008000.0,0
2,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,4,6,MOTION_KERNEL,1.6064,20100.00002,20101.60642,200.0,20100.00002,2008000.0,0
1,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,6,9,TRACKER_KERNEL,1.496,20101.606415000002,20103.102415,10101.60641,20101.606415000002,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,3,6,MOTION_KERNEL,1.6064,20101.60642,20103.21282,200.0,20100.00002,2008000.0,0
3,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,4,6,MOTION_KERNEL,1.6064,30100.00003,30101.60643,300.0,30100.00003,2008000.0,0
-1,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,6,9,TRACKER_KERNEL,1.496,30101.60642,30103.10242,10103.21281,30101.60642,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,3,6,MOTION_KERNEL,1.6064,30101.60643,30103.21283,300.0,30100.00003,2008000.0,0
1,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,9,3,CLASSIFIER_KERNEL,0,30103.102420000003,30103.102420000003,20103.102415,30103.102420000003,0.0,0
4,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,4,6,MOTION_KERNEL,1.6064,40100.00004,40101.606439999996,400.0,40100.00004,2008000.0,0
2,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,6,9,TRACKER_KERNEL,1.496,40101.606425000005,40103.102425000005,20101.60642,40101.606425000005,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,3,6,MOTION_KERNEL,1.6064,40101.606439999996,40103.21283999999,400.0,40100.00004,2008000.0,0
-1,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,9,3,CLASSIFIER_KERNEL,0,40103.102425000005,40103.102425000005,30103.10242,40103.102425000005,0.0,0
5,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,4,6,MOTION_KERNEL,1.6064,50100.00005,50101.60645,500.0,50100.00005,2008000.0,0
-1,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,6,9,TRACKER_KERNEL,1.496,50101.60643000001,50103.102430000006,20103.21282,50101.60643000001,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,3,6,MOTION_KERNEL,1.6064,50101.60645,50103.212849999996,500.0,50100.00005,2008000.0,0
2,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,9,3,CLASSIFIER_KERNEL,0,50103.102430000006,50103.102430000006,40103.102425000005,50103.102430000006,0.0,0
6,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,4,6,MOTION_KERNEL,1.6064,60100.000060000006,60101.60646,600.0,60100.000060000006,2008000.0,0
3,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,6,9,TRACKER_KERNEL,1.496,60101.60643500001,60103.10243500001,30101.60643,60101.60643500001,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,3,6,MOTION_KERNEL,1.6064,60101.60646,60103.21286,600.0,60100.000060000006,2008000.0,0
-1,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,9,3,CLASSIFIER_KERNEL,0,60103.10243500001,60103.10243500001,50103.102430000006,60103.10243500001,0.0,0
7,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,4,6,MOTION_KERNEL,1.6064,70100.00007000001,70101.60647000001,700.0,70100.00007000001,2008000.0,0
-1,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,6,9,TRACKER_KERNEL,1.496,70101.60644,70103.10244,30103.21283,70101.60644,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,3,6,MOTION_KERNEL,1.6064,70101.60647000001,70103.21287000002,700.0,70100.00007000001,2008000.0,0
3,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,9,3,CLASSIFIER_KERNEL,0,70103.10244,70103.10244,60103.10243500001,70103.10244,0.0,0
8,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,4,6,MOTION_KERNEL,1.6064,80100.00008000001,80101.60648000002,800.0,80100.00008000001,2008000.0,0
4,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,6,9,TRACKER_KERNEL,1.496,80101.60644500001,80103.10244500001,40101.606439999996,80101.60644500001,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,3,6,MOTION_KERNEL,1.6064,80101.60648000002,80103.21288000002,800.0,80100.00008000001,2008000.0,0
-1,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,9,3,CLASSIFIER_KERNEL,0,80103.102445,80103.102445,70103.10244,80103.102445,0.0,0
9,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,4,6,MOTION_KERNEL,1.6064,90100.00009000002,90101.60649000002,900.0,90100.00009000002,2008000.0,0
-1,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,6,9,TRACKER_KERNEL,1.496,90101.60644999999,90103.10244999999,40103.21283999999,90101.60644999999,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,3,6,MOTION_KERNEL,1.6064,90101.60649000002,90103.21289000002,900.0,90100.00009000002,2008000.0,0
4,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,9,3,CLASSIFIER_KERNEL,0,90103.10245,90103.10245,80103.10244500001,90103.10245,0.0,0
